SKT_ID&SKT_CREATED_AT&SKT_CREATED_DATE&ID&FIRST_NAME&LAST_NAME&EMAIL&VALUE&DATE&FILE_ID&FILENAME&FILE_ROW_NUM
20230626-192710603-auto-167&2023-06-04 00:00:00.000&2023-06-04&133&Name167&Surname167&user167@example.com&47&2023-06-04&1361787&auto.csv&168
20230615-552454884-auto-78&2023-06-06 00:00:00.000&2023-06-06&376&Name78&Surname78&user78@example.com&47&2023-06-06&6058828&auto.csv&79
20230614-611153571-auto-178&2023-06-08 00:00:00.000&2023-06-08&168&Name178&Surname178&user178@example.com&47&2023-06-08&4635580&auto.csv&179
20230615-601976386-auto-145&2023-06-03 00:00:00.000&2023-06-03&256&Name145&Surname145&user145@example.com&47&2023-06-03&1923655&auto.csv&146
20230620-485913384-auto-11&2023-06-09 00:00:00.000&2023-06-09&221&Name11&Surname11&user11@example.com&47&2023-06-09&1359451&auto.csv&12
20230612-862861790-auto-98&2023-06-03 00:00:00.000&2023-06-03&277&Name98&Surname98&user98@example.com&47&2023-06-03&5138087&auto.csv&99
20230621-226636753-auto-71&2023-06-03 00:00:00.000&2023-06-03&120&Name71&Surname71&user71@example.com&47&2023-06-03&6230200&auto.csv&72
20230626-533316991-auto-83&2023-06-03 00:00:00.000&2023-06-03&110&Name83&Surname83&user83@example.com&47&2023-06-03&1862263&auto.csv&84
20230630-660036101-auto-96&2023-06-02 00:00:00.000&2023-06-02&320&Name96&Surname96&user96@example.com&47&2023-06-02&1971034&auto.csv&97
20230629-499231844-auto-10&2023-06-04 00:00:00.000&2023-06-04&103&Name10&Surname10&user10@example.com&47&2023-06-04&4585636&auto.csv&11
20230618-973206748-auto-140&2023-06-09 00:00:00.000&2023-06-09&318&Name140&Surname140&user140@example.com&47&2023-06-09&1925503&auto.csv&141
20230615-264714646-auto-89&2023-06-08 00:00:00.000&2023-06-08&95&Name89&Surname89&user89@example.com&47&2023-06-08&6697645&auto.csv&90
20230621-815871148-auto-2&2023-06-09 00:00:00.000&2023-06-09&411&Name2&Surname2&user2@example.com&47&2023-06-09&2146456&auto.csv&3
20230622-122182476-auto-124&2023-06-04 00:00:00.000&2023-06-04&278&Name124&Surname124&user124@example.com&47&2023-06-04&1920955&auto.csv&125
20230617-934837675-auto-184&2023-06-10 00:00:00.000&2023-06-10&475&Name184&Surname184&user184@example.com&47&2023-06-10&1205004&auto.csv&185
20230614-744608562-auto-126&2023-06-07 00:00:00.000&2023-06-07&409&Name126&Surname126&user126@example.com&47&2023-06-07&7299407&auto.csv&127
20230612-861790653-auto-117&2023-06-04 00:00:00.000&2023-06-04&257&Name117&Surname117&user117@example.com&47&2023-06-04&1568804&auto.csv&118
20230629-258152808-auto-147&2023-06-04 00:00:00.000&2023-06-04&387&Name147&Surname147&user147@example.com&47&2023-06-04&5957174&auto.csv&148
20230610-488720844-auto-119&2023-06-01 00:00:00.000&2023-06-01&248&Name119&Surname119&user119@example.com&47&2023-06-01&3454732&auto.csv&120
20230612-304353098-auto-72&2023-06-11 00:00:00.000&2023-06-11&450&Name72&Surname72&user72@example.com&47&2023-06-11&2045377&auto.csv&73
20230617-110535615-auto-104&2023-06-05 00:00:00.000&2023-06-05&197&Name104&Surname104&user104@example.com&47&2023-06-05&8790850&auto.csv&105
20230619-612406931-auto-176&2023-06-11 00:00:00.000&2023-06-11&479&Name176&Surname176&user176@example.com&47&2023-06-11&7326980&auto.csv&177
20230619-268812935-auto-164&2023-06-11 00:00:00.000&2023-06-11&31&Name164&Surname164&user164@example.com&47&2023-06-11&8057406&auto.csv&165
20230613-455790245-auto-172&2023-06-04 00:00:00.000&2023-06-04&287&Name172&Surname172&user172@example.com&47&2023-06-04&7270229&auto.csv&173
20230625-691414838-auto-9&2023-06-02 00:00:00.000&2023-06-02&400&Name9&Surname9&user9@example.com&47&2023-06-02&6743437&auto.csv&10
20230628-189499550-auto-112&2023-06-03 00:00:00.000&2023-06-03&447&Name112&Surname112&user112@example.com&47&2023-06-03&2396508&auto.csv&113
20230613-652801907-auto-142&2023-06-09 00:00:00.000&2023-06-09&451&Name142&Surname142&user142@example.com&47&2023-06-09&8929943&auto.csv&143
